asset_id,asset_name,included_data_or_behavior,security_properties,damage_context
AST-001,Battery measurements,"Cell and pack voltage, current, temperature, isolation resistance, and contactor feedback","Integrity; Availability","Incorrect protection or control decisions; degraded detection of an unsafe battery condition"
AST-002,Derived battery state,"SOC, SOH, SOP, charge and discharge limits, thermal state, and charging state","Integrity; Freshness","Unsafe charge or discharge decisions; loss of availability; misleading operator information"
AST-003,High-impact commands,"Contactor, precharge, charge enable, discharge enable, power limit, cooling, balancing, and fault-clear commands","Authenticity; Authorization; Freshness","Unexpected high-voltage energization; inrush current; loss of power control; unsafe operating transition"
AST-004,Diagnostics and credentials,"Diagnostic sessions, security levels, routines, writes, resets, programming operations, and service identities","Confidentiality; Integrity; Authorization","Unauthorized programming; configuration changes; fault clearing; reset abuse; unauthorized service-mode entry"
AST-005,Firmware and boot state,"Executable image, firmware manifest, signer identity, security version, recovery image, and activation state","Authenticity; Integrity; Availability","Persistent malicious logic; disabled protection; unsafe behavior; failed startup; unrecoverable update"
AST-006,Configuration and calibration,"Thresholds, scaling values, battery capacity, cell count, chemistry profile, hardware compatibility, and control calibration","Integrity; Authorization","Correctly signed software operates with unsafe or incompatible configuration values"
AST-007,Communication service,"CAN and CAN-FD identifiers, payloads, timing, counters, gateways, queues, and message-routing behavior","Availability; Integrity; Freshness","Loss or delay of critical data; stale decisions; parser failure; resource starvation; communication outage"
AST-008,Events and evidence,"Logs, security events, findings, test results, code version, remediation history, and retest records","Integrity; Availability; Accountability","Attack is missed; result cannot be reproduced; weakness is closed without evidence; investigation history is lost"
AST-009,Remote and OT access,"Optional BESS EMS and PCS access, Modbus functions, certificates, network zones, user roles, and remote commands","Authentication; Authorization; Segmentation","Unauthorized site control; manipulated setpoints; operational outage; unsafe remote action"
AST-010,Debug and boot interfaces,"JTAG/SWD, bootloader entry, serial console, and test pads","Confidentiality; Integrity; Authorization","Firmware or key extraction; persistent compromise that bypasses message-level controls"